"full_name","diameter","class"
"  221P/LINEAR",,JFc
"  222P/LINEAR",,JFc
"  223P/Skiff",,JFc
"  224P/LINEAR-NEAT",,JFc
"  225P/LINEAR",,JFc
"  226P/Pigott-LINEAR-Kowalski",,JFc
"  227P/Catalina-LINEAR",,JFc
"  228P/LINEAR",,JFc
"  229P/Gibbs",,JFc
"  230P/LINEAR",,JFc
"  231P/LINEAR-NEAT",,JFc
"  232P/Hill",,JFc
"  233P/La Sagra",,ETc
"  234P/LINEAR",,JFc
"  235P/LINEAR",,JFc
"  236P/LINEAR",,JFc
"  237P/LINEAR",,JFc
"  238P/Read",,ETc
"  239P/LINEAR",,JFc
"  240P/NEAT",,JFc
"  241P/LINEAR",,JFc
"  242P/Spahr",,JFc
"  243P/NEAT",,JFc
"  244P/Scotti",,JFc
"  245P/WISE",,JFc
"  246P/NEAT",,JFc
"  247P/LINEAR",,JFc
"  248P/Gibbs",,JFc
"  249P/LINEAR",,JFc
"  250P/Larson",,JFc
"  251P/LINEAR",,JFc
"  252P/LINEAR",,JFc
"  253P/PANSTARRS",,JFc
"  254P/McNaught",,JFc
"  255P/Levy",,JFc
"  256P/LINEAR",,JFc
"  257P/Catalina",,JFc
"  258P/PANSTARRS",,JFc
"  259P/Garradd",,ETc
"  260P/McNaught",,JFc
"  261P/Larson",,JFc
"  262P/McNaught-Russell",,JFC
"  263P/Gibbs",,JFc
"  264P/Larsen",,JFc
"  265P/LINEAR",,JFc
"  266P/Christensen",,ETc
"  267P/LONEOS",,JFc
"  268P/Bernardi",,JFc
"  269P/Jedicke",,JFc
"  270P/Gehrels",,JFc
"  271P/van Houten-Lemmon",,JFc
"  272P/NEAT",,JFc
"  273P/Pons-Gambart",,HTC
"  274P/Tombaugh-Tenagra",,JFc
"  275P/Hermann",,JFc
"  276P/Vorobjov",,JFc
"  277P/LINEAR",,JFc
"  278P/McNaught",,JFc
"  279P/La Sagra",,JFc
"  280P/Larsen",,JFc
"  281P/MOSS",,JFc
"  283P/Spacewatch",,JFc
"  284P/McNaught",,JFc
"  285P/LINEAR",,JFc
"  286P/Christensen",,JFc
"  287P/Christensen",,JFc
"  289P/Blanpain",,JFc
"  290P/Jager",,JFc
"  291P/NEAT",,JFc
"  292P/Li",,JFc
"  293P/Spacewatch",,JFc
"  294P/LINEAR",,JFc
"  295P/LINEAR",,JFc
"  296P/Garradd",,JFc
"  297P/Beshore",,ETc
"  298P/Christensen",,JFc
"  299P/Catalina-PANSTARRS",,JFc
"  300P/Catalina",,JFc
"  301P/LINEAR-NEAT",,JFc
"  302P/Lemmon-PANSTARRS",,JFc
"  303P/NEAT",,JFc
"  304P/Ory",,JFc
"  305P/Skiff",,JFc
"  306P/LINEAR",,JFc
"  307P/LINEAR",,JFc
"  308P/Lagerkvist-Carsenty",,JFc
"  309P/LINEAR",,JFc
"  310P/Hill",,JFc
"  311P/PANSTARRS",,ETc
"  312P/NEAT",,JFc
"  313P/Gibbs",,ETc
"  314P/Montani",,JFc
"  315P/LONEOS",,JFc
"  316P/LONEOS-Christensen",,JFc
"  317P/WISE",,JFc
"  318P/McNaught-Hartley",,JFc
"  319P/Catalina-McNaught",,JFc
"  320P/McNaught",,JFc
"  321P/SOHO",,JFc
"  322P/SOHO",,JFc
"  323P/SOHO",,JFc
"  324P/La Sagra",1.600,ETc
"  325P/Yang-Gao",,JFc
"  326P/Hill",,JFc
